,Npas4,Prkcz,Nsf,Fmr1,gene
Jund,1000,0,0,0,Jund
K230010J24Rik,0,846,230,121,K230010J24Rik
Katnal1,0,951,264,138,Katnal1
Kazn,0,771,72,130,Kazn
Kcna4,941,24,46,56,Kcna4
Kcnj2,0,171,866,964,Kcnj2
Kcnma1,13,264,961,869,Kcnma1
Kctd12,1000,0,0,0,Kctd12
Kctd6,0,316,590,656,Kctd6
Kctd8,0,877,266,151,Kctd8
Kdm6b,1000,0,0,0,Kdm6b
Keap1,0,325,666,752,Keap1
Khdrbs2,0,816,150,71,Khdrbs2
Klf16,0,564,349,429,Klf16
Klf2,1000,0,0,0,Klf2
Klf8,0,280,833,795,Klf8
Klhdc2,0,657,403,372,Klhdc2
Klhl21,1000,0,0,0,Klhl21
Klhl26,0,239,928,910,Klhl26
Knop1,1000,0,0,0,Knop1
Krba1,0,240,929,913,Krba1
Krcc1,0,812,153,57,Krcc1
L3hypdh,1000,0,0,0,L3hypdh
Lat,0,824,125,41,Lat
Lats1,1000,0,0,0,Lats1
Lbh,1000,0,0,0,Lbh
Lgals1,0,887,288,171,Lgals1
Lgmn,0,433,571,654,Lgmn
Lif,0,268,967,879,Lif
Lin7c,0,820,187,82,Lin7c
Lmo7,298,397,189,250,Lmo7
Lonrf1,1000,0,0,0,Lonrf1
Lrrc10b,838,84,12,21,Lrrc10b
Lrrc48,1000,0,0,0,Lrrc48
Lsm7,0,820,140,30,Lsm7
Lyrm2,0,170,869,967,Lyrm2
Lysmd3,0,171,870,968,Lysmd3
Lysmd4,0,653,290,344,Lysmd4
M1ap,0,0,0,0,M1ap
Malsu1,0,250,949,897,Malsu1
Maml2,0,265,964,882,Maml2
Mamld1,0,177,876,968,Mamld1
Mapkapk2,0,171,870,970,Mapkapk2
Mapre1,1000,0,0,0,Mapre1
March11,1000,0,0,0,March11
Mcl1,1000,0,0,0,Mcl1
Mea1,0,277,832,804,Mea1
Mest,1000,0,0,0,Mest
Mettl7a1,0,172,871,971,Mettl7a1
Mfap1a,0,294,985,853,Mfap1a
Mfap3l,0,162,857,953,Mfap3l
Mgst3,0,819,176,83,Mgst3
Minpp1,1000,0,0,0,Minpp1
Mis12,1000,0,0,0,Mis12
Mkks,0,817,219,136,Mkks
Mmp12,0,1,0,0,Mmp12
Mn1,0,160,857,955,Mn1
Mobp,0,602,303,381,Mobp
Mrpl42,0,271,970,876,Mrpl42
Mrps16,1000,0,0,0,Mrps16
Mrps23,523,239,456,362,Mrps23
Mrps26,0,367,677,657,Mrps26
Msmo1,91,765,66,15,Msmo1
Mtch2,753,133,18,27,Mtch2
Mtrf1,0,190,883,904,Mtrf1
Myd88,0,163,860,956,Myd88
Myeov2,6,328,596,675,Myeov2
Myl12b,0,190,889,957,Myl12b
Myom1,0,308,711,761,Myom1
Naa30,0,860,161,49,Naa30
Nab2,49,769,133,57,Nab2
Naf1,0,365,864,742,Naf1
Nap1l5,1000,0,0,0,Nap1l5
Ndnl2,1000,0,0,0,Ndnl2
Ndufs4,1000,0,0,0,Ndufs4
Ndufs5,33,195,754,833,Ndufs5
Ndufv1,779,121,25,34,Ndufv1
Necap1,308,241,440,478,Necap1
Neurl4,0,831,139,38,Neurl4
Neurod2,1000,0,0,0,Neurod2
Nexn,1000,0,0,0,Nexn
Nfam1,0,863,344,237,Nfam1
Nfil3,22,155,848,945,Nfil3
Ngrn,978,9,0,0,Ngrn
Nkrf,1000,0,0,0,Nkrf
Nkx2-2,1000,0,0,0,Nkx2-2
Npas4,1000,0,0,0,Npas4
Nppa,0,171,870,968,Nppa
Nptx2,1000,0,0,0,Nptx2
Npy1r,0,196,895,951,Npy1r
Npy5r,1000,0,0,0,Npy5r
Nr2f1,571,50,403,417,Nr2f1
Nr4a1,970,3,8,13,Nr4a1
Nr4a2,1000,0,0,0,Nr4a2
Nr4a3,1000,0,0,0,Nr4a3
Nrg2,0,840,141,41,Nrg2
Nrip1,0,167,840,940,Nrip1
Nsf,0,301,1000,846,Nsf
Nsmaf,0,258,957,889,Nsmaf
Ntpcr,0,240,939,902,Ntpcr
Nuak1,0,163,860,958,Nuak1
Nuf2,0,887,288,171,Nuf2
Numb,997,1,2,2,Numb
Nup50,0,290,861,824,Nup50
Nupr1,0,323,889,819,Nupr1
Odf4,0,0,0,0,Odf4
Olfml2b,0,181,880,966,Olfml2b
Olfr635,0,0,0,0,Olfr635
Orc5,0,267,966,877,Orc5
Otog,0,357,699,656,Otog
Otud1,0,458,562,648,Otud1
Oxr1,0,912,217,96,Oxr1
Pak6,2,165,860,958,Pak6
Palb2,0,193,832,916,Palb2
Parg,0,738,259,330,Parg
Pcdh8,1000,0,0,0,Pcdh8
Pdia4,0,272,971,875,Pdia4
Peli1,1000,0,0,0,Peli1
Per1,1000,0,0,0,Per1
Phlda1,0,617,481,456,Phlda1
Phtf1,0,746,135,184,Phtf1
Pick1,0,263,962,884,Pick1
Pigb,999,1,0,0,Pigb
Pigm,1000,0,0,0,Pigm
Pira2,0,0,0,0,Pira2
Pkd1,256,289,454,480,Pkd1
Plagl1,858,67,14,25,Plagl1
Pld6,0,877,266,151,Pld6
Plekho1,1000,0,0,0,Plekho1
Plk2,1000,0,0,0,Plk2
Plk3,41,845,305,167,Plk3
Pmm2,0,819,274,217,Pmm2
Pnp,0,616,419,484,Pnp
Pnpt1,0,258,957,876,Pnpt1
Poc5,0,523,533,489,Poc5
Polr2d,970,16,0,1,Polr2d
Ppat,853,74,18,27,Ppat
Ppic,0,899,282,156,Ppic
Ppm1d,1000,0,0,0,Ppm1d
Ppp1r15a,1000,0,0,0,Ppp1r15a
Ppp2r2a,0,171,870,968,Ppp2r2a
Ppp6c,3,349,877,759,Ppp6c
Prep,0,267,966,876,Prep
Prickle2,606,122,316,369,Prickle2
Prkcb,0,261,960,886,Prkcb
Prkci,7,256,695,778,Prkci
Prkcz,0,1000,301,173,Prkcz
Prmt3,140,238,829,770,Prmt3
Prnp,0,287,682,759,Prnp
Prokr2,0,623,368,460,Prokr2
Prom2,0,0,0,1,Prom2
Prpf38b,1000,0,0,0,Prpf38b
Prr15,0,227,916,890,Prr15
Psmb8,0,844,228,129,Psmb8
Psmc3,1000,0,0,0,Psmc3
Ptger4,0,160,855,953,Ptger4
Ptgs2,1000,0,0,0,Ptgs2
Ptpn22,0,827,205,130,Ptpn22
Pxn,0,494,531,516,Pxn
Rab11fip2,0,275,974,872,Rab11fip2
Rab2a,0,158,847,961,Rab2a
Rab39b,825,89,16,28,Rab39b
Rab3b,0,212,911,933,Rab3b
Raf1,337,94,610,648,Raf1
Ranbp2,1000,0,0,0,Ranbp2
Rasd1,1000,0,0,0,Rasd1
Rasl11a,0,168,861,979,Rasl11a
Rbbp5,1000,0,0,0,Rbbp5
Rbbp8,0,578,363,447,Rbbp8
Rbm38,0,172,871,971,Rbm38
Rbp4,1000,0,0,0,Rbp4
Rbsn,0,267,966,880,Rbsn
Rdh16,0,343,636,693,Rdh16
Rfc5,0,700,127,220,Rfc5
Rfx2,1000,0,0,0,Rfx2
Rfx7,1000,0,0,0,Rfx7
Rgmb,1000,0,0,0,Rgmb
Rgs2,1000,0,0,0,Rgs2
Rgs4,1000,0,0,0,Rgs4
Ripk3,0,0,0,0,Ripk3
Rnf128,0,534,355,453,Rnf128
Rnf138rt1,0,247,946,884,Rnf138rt1
Rnf149,0,412,500,570,Rnf149
Rnft1,1000,0,0,0,Rnft1
Rnpc3,1000,0,0,0,Rnpc3
Rom1,0,262,725,811,Rom1
Rora,1000,0,0,0,Rora
Rorb,0,257,956,877,Rorb
Rpl21-ps4,0,0,1,1,Rpl21-ps4
Rpl36a,693,150,161,170,Rpl36a
Rpp21,0,219,918,928,Rpp21
Rsbn1l,0,169,862,944,Rsbn1l
Rsrc1,0,881,182,64,Rsrc1
Rundc1,0,269,968,878,Rundc1
Samd11,0,887,288,171,Samd11
Samm50,0,668,233,295,Samm50
Sbds,0,185,884,962,Sbds
Scd3,0,306,709,799,Scd3
Scg2,1000,0,0,0,Scg2
Scg3,0,531,473,556,Scg3
Scrn1,0,172,871,971,Scrn1
Sdcbp,1000,0,0,0,Sdcbp
Sebox,0,846,230,121,Sebox
Sec61b,295,607,26,13,Sec61b
Serp1,0,159,854,954,Serp1
Sf3b1,1000,0,0,0,Sf3b1
Sgk1,1000,0,0,0,Sgk1
Sgpl1,0,296,613,702,Sgpl1
Sh2d3c,1000,0,0,0,Sh2d3c
Shc4,54,603,162,210,Shc4
Shmt2,0,272,971,875,Shmt2
Siah2,1000,0,0,0,Siah2
Sik1,1000,0,0,0,Sik1
Slc14a1,0,818,379,242,Slc14a1
Slc16a1,0,170,869,967,Slc16a1
Slc18a2,990,1,3,8,Slc18a2
Slc18b1,0,292,807,796,Slc18b1
Slc20a2,0,171,870,970,Slc20a2
Slc23a4,0,319,964,828,Slc23a4
Slc25a25,1000,0,0,0,Slc25a25
Slc2a3,1000,0,0,0,Slc2a3
Slc2a5,0,776,81,128,Slc2a5
Slc35c2,0,175,874,970,Slc35c2
Slc36a4,0,497,371,444,Slc36a4
Slc5a10,0,0,0,0,Slc5a10
Slc6a6,724,134,205,185,Slc6a6
Slc7a15,0,877,266,151,Slc7a15
Slco2a1,0,622,507,426,Slco2a1
Smad7,1000,0,0,0,Smad7
Smc1b,0,244,915,857,Smc1b
Smg9,917,40,0,2,Smg9
Smndc1,1000,0,0,0,Smndc1
Snrpd2,0,267,966,878,Snrpd2
Snx18,1000,0,0,0,Snx18
Snx4,1000,0,0,0,Snx4
Sorcs2,0,290,981,857,Sorcs2
Sos1,1,566,307,393,Sos1
Sowahc,0,306,709,799,Sowahc
Spata2l,853,140,5,10,Spata2l
Spcs3,804,102,18,28,Spcs3
Specc1l,0,171,870,970,Specc1l
Spin2c,0,244,943,903,Spin2c
Sptlc2,48,307,833,798,Sptlc2
Spty2d1,1000,0,0,0,Spty2d1
Srek1ip1,0,208,797,883,Srek1ip1
Srf,1000,0,0,0,Srf
Srgap1,0,168,867,965,Srgap1
Ssna1,1000,0,0,0,Ssna1
Ssxb2,0,0,0,0,Ssxb2
Stard3nl,138,691,287,191,Stard3nl
Stmn4,0,198,820,916,Stmn4
Stx2,1000,0,0,0,Stx2
Sumf2,297,617,26,12,Sumf2
Suv39h1,0,196,895,951,Suv39h1
Syt4,1000,0,0,0,Syt4
Syt5,0,255,954,876,Syt5
Tada2b,1000,0,0,0,Tada2b
Tax1bp1,0,257,956,877,Tax1bp1
Tbc1d17,0,180,879,965,Tbc1d17
Tbcel,1000,0,0,0,Tbcel
Tceb2,0,184,779,862,Tceb2
Tcta,0,528,424,471,Tcta
Tdrp,1000,0,0,0,Tdrp
Tes,0,150,813,894,Tes
Tgfb3,486,355,207,177,Tgfb3
Tgs1,1000,0,0,0,Tgs1
Thap4,0,415,586,624,Thap4
Thoc7,0,706,143,200,Thoc7
Tiparp,1000,0,0,0,Tiparp
Tlr13,0,218,907,935,Tlr13
Tmed2,0,294,873,816,Tmed2
Tmem119,0,834,225,141,Tmem119
Tmem151b,0,488,580,527,Tmem151b
Tmem167,0,322,749,719,Tmem167
Tmem201,0,260,959,887,Tmem201
Tmem253,0,863,344,237,Tmem253
Tmem39a,770,79,209,193,Tmem39a
Tmem47,1000,0,0,0,Tmem47
Tmem50a,0,173,872,972,Tmem50a
Tmem8b,1000,0,0,0,Tmem8b
Tmprss9,0,609,606,503,Tmprss9
Tmx4,49,828,218,103,Tmx4
Tnfrsf23,0,256,955,878,Tnfrsf23
Tnip2,1000,0,0,0,Tnip2
Toe1,841,80,15,25,Toe1
Tox4,0,372,544,642,Tox4
Tra2b,1000,0,0,0,Tra2b
Traip,0,436,507,592,Traip
Trappc6b,933,26,0,1,Trappc6b
Trhr,0,160,857,959,Trhr
Trib1,1000,0,0,0,Trib1
Trim11,0,254,953,879,Trim11
Trp53inp2,1000,0,0,0,Trp53inp2
Tsen54,1000,0,0,0,Tsen54
Tspan33,609,162,137,182,Tspan33
Tuba1b,0,171,870,970,Tuba1b
Tubb2a,0,148,835,929,Tubb2a
Tubb3,61,259,728,747,Tubb3
Tubb4a,1000,0,0,0,Tubb4a
Tubb4b,0,172,871,971,Tubb4b
Txnip,0,254,953,877,Txnip
U2af1l4,1000,0,0,0,U2af1l4
Uba3,0,195,831,953,Uba3
Ubc,1000,0,0,0,Ubc
Ube2a,0,530,546,491,Ube2a
Ube2d3,0,171,870,968,Ube2d3
Ube2l6,0,258,957,877,Ube2l6
Ube2o,0,590,347,431,Ube2o
Unc5a,1000,0,0,0,Unc5a
Uncx,0,270,969,877,Uncx
Uqcrc2,0,171,870,970,Uqcrc2
Urb1,0,988,289,161,Urb1
Usp17lc,0,0,0,0,Usp17lc
Usp27x,1000,0,0,0,Usp27x
Usp36,1000,0,0,0,Usp36
Uspl1,0,184,883,961,Uspl1
Vamp1,0,171,870,968,Vamp1
Veph1,0,219,772,893,Veph1
Vmn1r63,0,255,954,879,Vmn1r63
Vmn2r10,0,1,0,0,Vmn2r10
Vwa3b,0,794,95,93,Vwa3b
Wbscr16,0,827,128,39,Wbscr16
Wdfy2,0,487,547,496,Wdfy2
Wdr26,0,161,858,954,Wdr26
Wdr34,0,165,848,969,Wdr34
Wdr45b,0,186,829,917,Wdr45b
Wdr83,0,606,229,319,Wdr83
Wwc1,1000,0,0,0,Wwc1
Zbtb11,1000,0,0,0,Zbtb11
Zbtb21,855,77,3,2,Zbtb21
Zbtb33,1000,0,0,0,Zbtb33
Zbtb41,27,806,112,19,Zbtb41
Zc3h11a,0,229,757,837,Zc3h11a
Zc3h12c,0,171,870,968,Zc3h12c
Zc3h6,92,738,112,74,Zc3h6
Zdbf2,0,170,869,967,Zdbf2
Zdhhc2,0,789,360,255,Zdhhc2
Zfand5,1000,0,0,0,Zfand5
Zfp207,956,7,19,42,Zfp207
Zfp24,1000,0,0,0,Zfp24
Zfp26,0,362,704,653,Zfp26
Zfp276,0,538,375,484,Zfp276
Zfp281,1000,0,0,0,Zfp281
Zfp385b,107,753,61,29,Zfp385b
Zfp52,0,272,971,875,Zfp52
Zfp553,0,682,338,328,Zfp553
Zfp59,0,271,970,876,Zfp59
Zfp654,0,513,557,504,Zfp654
Zfp655,0,164,859,957,Zfp655
Zfp668,1000,0,0,0,Zfp668
Zfp799,0,243,910,905,Zfp799
Zfp804b,0,173,872,970,Zfp804b
Zfp869,0,242,941,905,Zfp869
Zfp87,45,784,327,220,Zfp87
Zfp937,339,601,25,11,Zfp937
Zfp950,0,270,969,877,Zfp950
Zfp994,999,1,1,1,Zfp994
Zkscan8,55,223,682,762,Zkscan8
Zmym2,0,237,926,916,Zmym2
Zranb1,0,243,942,904,Zranb1
Zscan2,0,714,135,209,Zscan2
